model,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,latency_ms_mean,latency_ms_std,cpu_pct_mean,cpu_pct_std,ram_percent_mean,ram_percent_std,train_time_ms_mean,train_time_ms_std
threshold_baseline,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
logistic_regression,5,0.9180995475113122,0.030868883078390117,0.7075948508586081,0.24904342089382328,0.47460428771789226,0.19288255273472005,0.543851687059696,0.2064263739532292,0.2850493969162926,0.03376615606146948,10.0,20.0,45.5,0.0,15.173195200623013,7.013719413498338
decision_tree,5,0.9398190045248869,0.053205435528827734,0.7976744186046512,0.3988626339445273,0.527593835570694,0.3669891217853546,0.6047944780083109,0.35955985471025526,0.2621088002342731,0.04416436806890136,10.0,20.0,45.5,0.0,27.65171079809079,12.556907077439057
random_forest,5,0.9669683257918553,0.04111426856687983,0.976,0.047999999999999994,0.8168611834635678,0.263767977882468,0.8566610790491243,0.2051195928592137,3.9330337996943854,0.02346677199421263,15.0,12.24744871391589,45.5,0.0,169.60427059966605,60.31216704174409
