model,n_samples,n_anomalies_detected,latency_ms,latency_per_sample_ms,cpu_pct,ram_percent,process_memory_mb,n_true_anomalies,precision,recall,f1,train_time_ms,train_cpu_pct,train_ram_percent,train_process_memory_mb
rule_based_baseline,3319,55,0.0,0.0,0.0,0.0,0.0,55,1.0,1.0,1.0,0.0,0.0,0.0,0.0
isolation_forest,3319,131,10.71321900235489,0.003227845436081618,16.65,45.2,234.25,55,0.3893129770992366,0.9272727272727272,0.5483870967741935,73.23102000373183,27.5,45.2,234.03125
local_outlier_factor,3319,129,73.2964099952369,0.02208388369847451,43.1,45.2,238.390625,55,0.10852713178294573,0.2545454545454545,0.15217391304347827,90.22349199949531,53.9,45.2,235.9375
local_outlier_factor_pca,3319,137,109.33878800278762,0.03294329255883929,39.75,45.2,241.515625,55,0.10218978102189781,0.2545454545454545,0.14583333333333334,125.060473998019,66.95,45.2,240.1484375
one_class_svm,3319,170,55.420101001800504,0.01669783097372718,13.05,45.2,240.84375,55,0.3235294117647059,1.0,0.4888888888888889,72.743092001474,45.55,45.2,241.28125
